SOILCODE,SNAM,KS,POROSITY,FC,P_INDEX,RM,WP,B_DENSITY,SAND,CLAY,SILT,USLE_K,TEXTURE,HG
1,sand,208.8,0.437,0.062,3.4,0.02,0.024,1.65,0.9,0.05,0.05,0.02,1,4
2,loamy sand,61.2,0.437,0.105,3.9,0.035,0.047,1.6,0.8,0.05,0.15,0.04,2,4
3,sandy loam,25.92,0.453,0.19,4.5,0.041,0.085,1.55,0.7,0.15,0.2,0.13,3,4
4,silt loam,13.32,0.501,0.284,5,0.015,0.135,1.5,0.2,0.1,0.7,0.38,4,3
5,silt,6.84,0.482,0.258,3.7,0.015,0.126,1.45,0.05,0.05,0.9,0.34,5,3
6,loam,5.58,0.463,0.232,5.8,0.027,0.116,1.5,0.4,0.2,0.4,0.3,6,3
7,sandy clay loam,4.32,0.398,0.244,7.2,0.068,0.136,1.5,0.6,0.25,0.15,0.2,7,2
8,silt clay loam,2.3,0.471,0.342,8.3,0.04,0.21,1.5,0.1,0.35,0.55,0.32,8,2
9,clay loam,1.51,0.464,0.31,8.3,0.075,0.187,1.45,0.3,0.35,0.35,0.3,9,2
10,sandy clay,1.19,0.43,0.321,9.6,0.109,0.221,1.4,0.5,0.4,0.1,0.28,10,1
11,silt clay,0.9,0.479,0.371,10.4,0.056,0.251,1.4,0.15,0.45,0.4,0.26,11,1
12,clay,0.6,0.475,0.378,12.1,0.09,0.251,1.35,0.2,0.6,0.2,0.22,12,1
101,HBT,4.84,0.417,0.323,5.8,0.027,0.168,1.47,0.25,0.268,0.632,0.65,6,3
102,HJT,2.68,0.435,0.377,8.3,0.04,0.2,1.39,0.05,0.335,0.565,0.59,8,4
103,ST,1.88,0.434,0.385,8.3,0.04,0.233,1.39,0.135,0.389,0.476,0.79,8,4
104,SMT,2.84,0.439,0.378,8.3,0.04,0.217,1.38,0.117,0.355,0.528,0.65,8,4
105,HJFT,3.65,0.425,0.357,8.3,0.04,0.179,1.42,0.1,0.285,0.625,0.58,8,3
106,HHT,3.84,0.419,0.349,8.3,0.04,0.179,1.43,0.145,0.288,0.672,0.62,8,3
107,CST,3.49,0.429,0.362,8.3,0.04,0.184,1.41,0.093,0.296,0.621,0.47,8,3
108,HT,3.28,0.434,0.369,8.3,0.04,0.195,1.39,0.09,0.315,0.635,0.79,8,3
109,HSHT,3.93,0.452,0.379,8.3,0.04,0.213,1.35,0.1,0.354,0.501,0.5,8,3
110,CGT,3.91,0.453,0.381,8.3,0.04,0.202,1.34,0.04,0.328,0.352,0.42,8,3
111,HSET,12.03,0.434,0.309,5.8,0.027,0.154,1.39,0.32,0.232,0.518,0.43,6,1
23121121,Hongr,12.25,0.502,0.331,8.3,0.075,0.192,1.32,0.412,0.2838,0.3075,0.3,9,4
23121122,Huanghr,19.4,0.51,0.313,5.8,0.027,0.166,1.3,0.4062,0.2294,0.3546,0.3,6,2
23121123,Zhonghr,7.76,0.455,0.31,8.3,0.075,0.181,1.44,0.4325,0.277,0.2871,0.3,9,4
23121125,Hongrxt,1.79,0.446,0.357,8.3,0.075,0.229,1.47,0.3487,0.388,0.2633,0.3,9,4
23121131,Huangr,39.85,0.555,0.302,5.8,0.027,0.154,1.18,0.4852,0.1756,0.3394,0.3,6,2
23110132,Nianphht,7.85,0.467,0.327,5,0.015,0.155,1.41,0.2134,0.2436,0.546,0.38,4,2
23115122,Xinjt,2.18,0.493,0.398,10.4,0.056,0.257,1.34,0.7835,0.084,0.1325,0.26,3,4
23115154,Zongssht,5.26,0.529,0.4,12.1,0.09,0.262,1.25,0.1783,0.4345,0.3873,0.22,12,4
23115173,Zhongxzst,18.83,0.401,0.207,4.5,0.041,0.107,1.59,0.5765,0.174,0.2495,0.13,3,3
23115174,Shihxzst,4.68,0.441,0.321,8.3,0.075,0.18,1.48,0.323,0.2933,0.3837,0.3,9,4
23115182,Suanxszt,8.85,0.423,0.271,5.8,0.027,0.159,15.53,0.5007,0.2504,0.2489,0.3,7,2
23116142,Huict,37.12,0.441,0.201,4.5,0.041,0.084,1.48,0.5504,0.1053,0.3459,0.13,3,3
23119102,Zhuysdt,12.46,0.474,0.31,5,0.015,0.142,1.39,0.271,0.2103,0.4224,0.38,4,2
23119103,Yanysdt,11.61,0.473,0.31,5.8,0.027,0.154,1.4,0.3099,0.2294,0.4114,0.3,6,2
23119105,Qianysdt,15.43,0.497,0.318,5.8,0.027,0.152,1.33,0.2935,0.221,0.3726,0.3,6,2
23110141,Zhongr,7.89,0.512,0.363,7.2,0.068,0.238,1.29,0.5416,0.3322,0.1262,0.1,7,2
23111112,Het,2.43,0.421,0.322,9.6,0.109,0.213,1.53,0.5138,0.3518,0.139,0.14,10,1
23111114,LinrHet,1.97,0.43,0.337,9.6,0.109,0.232,1.51,0.5677,0.368,0.1043,0.11,10,1
23111118,Hetxt,1.87,0.429,0.338,9.6,0.109,0.225,1.51,0.4728,0.3665,0.1697,0.14,10,1
23111121,HuiHet,2.28,0.43,0.333,9.6,0.109,0.221,1.51,0.4861,0.3618,0.1521,0.13,10,1
23112111,AnliGait,9.82,0.444,0.284,7.2,0.068,0.183,1.47,0.6154,0.2743,0.1103,0.1,7,2
23112112,LiGait,11.47,0.44,0.272,7.2,0.068,0.167,1.48,0.579,0.254,0.1669,0.12,7,2
23112114,CaodLiGait,4.96,0.452,0.326,8.3,0.075,0.203,1.45,0.443,0.319,0.1817,0.12,9,2
23112121,LiHet,7.22,0.41,0.266,7.2,0.068,0.168,1.56,0.5739,0.2681,0.158,0.15,7,2
23112122,DanLiHet,3.59,0.428,0.315,8.3,0.075,0.196,1.52,0.4361,0.3212,0.2428,0.15,9,2
23115111,HongNiant,4.91,0.438,0.315,8.3,0.075,0.173,1.49,0.3181,0.279,0.2129,0.15,6,2
23115142,Caoyfst,69.01,0.401,0.092,3.9,0.035,0.049,1.59,0.8816,0.0876,0.0208,0.07,2,4
23115143,Caodfst,26.05,0.388,0.165,4.5,0.041,0.102,1.62,0.7631,0.1674,0.0695,0.12,3,4
23115184,Gaizszt,9.22,0.417,0.261,7.2,0.068,0.166,1.54,0.6157,0.2623,0.12,0.13,7,2
23115194,Gaizcgt,26.5,0.516,0.295,7.2,0.068,0.165,1.28,0.5395,0.208,0.2525,0.13,7,2
23116101,Caodt,10.76,0.458,0.295,7.2,0.068,0.174,1.44,0.4995,0.2599,0.2259,0.12,7,2
23116122,ShandCaodt,16.59,0.518,0.325,7.2,0.068,0.209,1.28,0.6505,0.2602,0.0893,0.1,7,2
23116141,Chaot,3.39,0.439,0.328,7.2,0.068,0.212,1.49,0.4672,0.3433,0.1913,0.13,7,2
23116143,TuoChaot,3.35,0.439,0.329,7.2,0.068,0.211,1.49,0.4626,0.3442,0.1932,0.14,7,2
23116144,ShiChaot,3.28,0.435,0.325,7.2,0.068,0.211,1.49,0.4943,0.3425,0.1632,0.13,7,2
23116146,JianhChaot,0.96,0.433,0.36,9.6,0.109,0.249,1.5,0.5005,0.41,0.0895,0.12,10,1
23118104,JianhYant,9.16,0.407,0.25,7.2,0.068,0.164,1.57,0.6595,0.2605,0.08,0.12,7,2
23119112,Guanyt,0.71,0.501,0.435,12.1,0.09,0.313,1.32,0.2356,0.5254,0.239,0.14,12,1
